_id,name,brand,hex,type,formula[0].base,formula[1].base,formula[2].base,formula[3].base,formula[4].base,formula[5].base,formula[6].base,formula[7].base,formula[8].base,formula[9].base,formula[10].base,formula[11].base,formula[0].quantity,formula[1].quantity,formula[2].quantity,formula[3].quantity,formula[4].quantity,formula[5].quantity,formula[6].quantity,formula[7].quantity,formula[8].quantity,formula[9].quantity,formula[10].quantity,formula[11].quantity,__v,manufacturer,tags[0],tags[1],tags[2],brands[0],brands[1],brands[2],brands[3],manufacture
66a7c495af9e4dcbc1752ae4,Marrom Bonfim,Farben,#60483b,Laca,65e87b69cb7a1ff3d9a824e0,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d4,,,,,,,,,,220,53,150,,,,,,,,,,0,,,,,66a268daaf9e4dcbc17185e8,,,,
66a7ca35af9e4dcbc1753e5d,Cinza Bonfim,Farben,#d4cfcf,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824e0,,,,,,,,,,661,5,5.4,,,,,,,,,,0,,,,,66a268daaf9e4dcbc17185e8,,,,
66a7ee2a79ee6c83ca04fa9e,Azul Força,Farben,#5851b7,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824da,65e87b69cb7a1ff3d9a824cc,65e87b69cb7a1ff3d9a824de,,,,,,,,,114,87,41.2,3.55,,,,,,,,,0,,,,,66a268daaf9e4dcbc17185e8,,,,
66aa3c6379ee6c83ca07a242,Dourado Reserva One (Claro),Farben,#dad35a,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824de,,,,,,,,,345,125,90,0.8,,,,,,,,,0,,,,,65e87b9475f168374cbc0905,,,,
66aa3dee79ee6c83ca07a6eb,Dourado Friboi,Farben,#babf59,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d2,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d4,,,,,,,,,97,46.1,1.8,23.5,,,,,,,,,0,,,,,65f2e6db59b661a6b0a9b75d,65e87b9475f168374cbc0905,,,
66b0ab9779ee6c83ca0cd0e4,Azul Pacífico,Farben,#261c69,Acrilico,65ea0e9d88af5449465bf4f4,6620073ab18ad27a975a662b,65ea0e3988af5449465bf4ec,65ea0cf588af5449465bf4d8,65ea105788af5449465bf510,,,,,,,,168,260,311,1580,62.8,,,,,,,,0,Scania,06484AB,,,,,,,Scania
66b0d8a179ee6c83ca0d5b54,Cinza Vitta Rio,Farben,#dae0d8,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824dc,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d0,,,,,,,,,300,3,0.6,0.7,,,,,,,,,0,,,,,66a3e043af9e4dcbc1738f8c,,,,
66b23913063d1226fa4ad7f5,Conger Black,Farben,#100d10,Acrilico,65ea0d9588af5449465bf4e8,6620073ab18ad27a975a662b,65ea105788af5449465bf510,65ea0c5acaee68804da3dfb4,,,,,,,,,300,1.5,4.7,15,,,,,,,,,0,Volvo,1723BLAC,l19723.1792,,,,,,
66b3d5bed29869b042d5ecd1,Apple Green,Farben,#b0e05e,Acrilico,65ea0f4e88af5449465bf504,65eef5c2c6ade12d4088a291,65ea0edb88af5449465bf4fc,6620073ab18ad27a975a662b,65ea0d9588af5449465bf4e8,,,,,,,,260,38,12,127,10.2,,,,,,,,0,DAF,,,,,,,,
66b4c405d29869b042d6b509,Verde MB,Farben,#baf72e,Laca,65ea0edb88af5449465bf4fc,65ea0f4e88af5449465bf504,,,,,,,,,,,2.8,200,,,,,,,,,,,0,,,,,66ba453b2725ba7db8bd5d59,,,,
66b4f41ad29869b042d74508,Dourado Reserva One (Escuro),Farben,#cec13f,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824de,,,,,,,,,97,34,24,0.3,,,,,,,,,0,,,,,65e87b9475f168374cbc0905,,,,
66ba19a0f1163ff22ee3dd64,Verde JCW,Farben,#467341,Laca,65e87b69cb7a1ff3d9a824dc,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824de,,,,,,,,,246,107.5,89,22,,,,,,,,,0,,,,,,,,,
66ba460a2725ba7db8bd62c1,Vermelho JCW,Farben,#e8533a,Laca,65e87b69cb7a1ff3d9a824d6,65e87b69cb7a1ff3d9a824ce,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824de,,,,,,,,,461,120,101,2.1,,,,,,,,,0,,,,,,,,,
66bb6930d2f65f69d1a3889f,Verde Folha,Farben,#528742,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d2,65e87b69cb7a1ff3d9a824dc,65e87b69cb7a1ff3d9a824de,,,,,,,,,51,26,65,11,,,,,,,,,0,,ford,,,,,,,
66bb86c7d2f65f69d1a3e965,Dourado JHS,Farben,#cec473,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824de,65e87b69cb7a1ff3d9a824d2,,,,,,,,,61,29.8,0.4,15,,,,,,,,,0,,,,,,,,,
66bbb9d3e00fb7aa524f30b2,Winter White,Farben,#f3f7f1,Acrilico,6620073ab18ad27a975a662b,65ea0cda88af5449465bf4d4,65ea0c5acaee68804da3dfb4,65ea0fba88af5449465bf50c,65ea0d5d88af5449465bf4e0,65ea0e9d88af5449465bf4f4,,,,,,,1900,11.2,5,1.55,5.7,1.1,,,,,,,0,Volvo,1103WHIT,l9103.1192,,,,,,
66bbd610e00fb7aa524f4225,Amarelo Titânio,Farben,#f5e11b,Acrilico,65ea0d5d88af5449465bf4e0,65ea0f4e88af5449465bf504,65eef5c2c6ade12d4088a291,6620073ab18ad27a975a662b,65ea0edb88af5449465bf4fc,65ea0d1f88af5449465bf4dc,65ea0d7b88af5449465bf4e4,,,,,,844,1765,1390,110,6.1,60.2,1,,,,,,0,Scania,11366697,,,,,,,
66c33c70e00fb7aa5256618f,Cinza Aço,Farben,#878787,Acrilico,,,,,,,,,,,,,,,,,,,,,,,,,0,MB,,,,,,,,
66c34430e00fb7aa52567bd3,Vermelho Petropolis,Farben,#ec1e1e,Acrilico,65ea0e3988af5449465bf4ec,65ea0cbc88af5449465bf4d0,6620073ab18ad27a975a662b,,,,,,,,,,206,62,10.5,,,,,,,,,,0,VW,,,,65e87ba575f168374cbc0cd4,,,,
66c48b94e00fb7aa525883bd,Prata BNFR,Farben,#414346,Poliester,65ea105788af5449465bf510,65ea0cf588af5449465bf4d8,65f820b9ae3e279cf0b2a253,65ea0d9588af5449465bf4e8,65ea03c1e3fddb288cb30d87,,,,,,,,6,12,46,150,290,,,,,,,,0,,,,,,,,,
66c5f5146fb0905f956b9620,Laranja MBB Metalico II,Farben,#ff9c3a,Acrilico,65ea0cbc88af5449465bf4d0,65eef5c2c6ade12d4088a291,6620073ab18ad27a975a662b,,,,,,,,,,281,426,81.2,,,,,,,,,,0,Volvo,S1077837-01,l9071.1392,,,,,,
66c8c0a349a8d3e5e0917749,Verde Serra Carioca,Farben,#a7e07c,Laca,65e87b69cb7a1ff3d9a824ea,65e87b69cb7a1ff3d9a824d0,65e87b69cb7a1ff3d9a824dc,65e87b69cb7a1ff3d9a824d4,65e87b69cb7a1ff3d9a824d2,,,,,,,,106.16,39.83,13.97,10.34,5,,,,,,,,0,,,,,65e87b9175f168374cbc081c,,,,
